,smiles,chembl_id,pIC50
138,Nc1nccc(-c2cc3c([nH]2)[C@@H](CCF)CNC3=O)n1,CHEMBL524266,6.0726296369609765
139,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,CHEMBL274064,4.721246399047171
140,COc1ccccc1-c1c[nH]nc1-c1ccc(OCc2ccccc2F)cc1O,CHEMBL486541,4.562249437179612
141,Cc1ccc(COc2ccc(-c3n[nH]cc3-c3ccccc3)c(O)c2)cc1,CHEMBL520871,4.772113295386326
142,O=C(/C=C/c1ccccc1)Nc1nc(NC(=O)c2ccccc2)nn1-c1ccccc1,CHEMBL486540,4.59176003468815
143,O=C(Nc1nc(NC(=O)c2ccco2)n(-c2ccccc2)n1)c1ccccc1,CHEMBL487356,4.73754891026957
144,O=C(Nc1nc(NC(=O)c2ccccc2)n(-c2ccccc2)n1)c1ccccc1,CHEMBL487154,5.080921907623926
145,O=C1/C(=C/C=C/c2ccccc2)SC(=S)N1Cc1ccc2c(c1)OCO2,CHEMBL507666,4.6252516539898965
146,COc1cc(/C=C2\SC(=S)N(Cc3ccccc3)C2=O)ccc1O,CHEMBL487153,4.844663962534939
147,O=C1/C(=C/c2ccc(O)cc2)SC(=S)N1Cc1ccccc1,CHEMBL520882,5.259637310505756
148,NC(=O)c1cc2c(-c3cccc(-c4ccccc4)c3)cnc(N)c2s1,CHEMBL445178,5.366531544420414
149,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL388978,5.3476569449372855
150,Cc1c(Nc2c(C#N)cnc3sc(/C=C/C(=O)N4CCCC4)cc23)ccc2[nH]ccc12,CHEMBL477817,4.301029995663981
151,O=c1[nH]cnc2[nH]c(-c3ccnc(/C=C/c4ccc(CN5CCOCC5)cc4)c3)cc12,CHEMBL461139,5.958607314841775
152,CN(C)CCOc1ccc(/C=C/c2cc(-c3cc4c(=O)[nH]cnc4[nH]3)ccn2)cc1,CHEMBL461140,5.585026652029182
153,C[C@@H](Nc1c(Nc2ccncc2)c(=O)c1=O)c1ccccc1,CHEMBL466496,5.337242168318426
154,NC(=O)C(Nc1c(Nc2ccncc2)c(=O)c1=O)c1ccccc1,CHEMBL467079,5.200659450546418
155,NC(=O)C(Nc1c(Nc2ccncc2)c(=O)c1=O)c1cccc(O)c1,CHEMBL511410,5.376750709602099
156,C[C@@H](Nc1c(Nc2ccnc(-c3ccccc3F)c2)c(=O)c1=O)c1ccccc1,CHEMBL468125,4.301029995663981
157,C[C@@H](Nc1c(Nc2ccnc(-c3ccco3)c2)c(=O)c1=O)c1ccccc1,CHEMBL519113,4.455931955649724
158,C[C@@H](Nc1c(Nc2ccnc(-c3ccsc3)c2)c(=O)c1=O)c1ccccc1,CHEMBL481248,4.301029995663981
